,ID,location_name,lat,long
147,2353306,Gounghin,12.06677,-1.42134
7256,2360473,Gounghin,12.624880000000001,-1.36398
10227,2570204,Gounghin,12.31436,-1.379
10688,10342749,Gounghin,12.06667,-0.15
10701,10629032,BICIAB // Gounghin,12.359210000000001,-1.54273
10760,11257296,Gounghin Department,12.06671,-0.15484
10787,11900526,Gounghin Nord,12.3612,-1.55055
10788,11900528,Zone Industrielle de Gounghin,12.36631,-1.5413700000000001
10794,11900619,Gounghin Sud,12.35298,-1.54342
10808,11900680,Gounghin,12.35895,-1.5444200000000001
